layer_id,latent_ind,flattened_id,latent_i,domain_idx,entry_name,n_in,n_out,mwu_p,mwu_p_adj,mwu_auc,prevalence,summary_kind,k_1x,precision_1x,lift_1x,or_topk_1x,fisher_p_1x,k_2x,precision_2x,lift_2x,or_topk_2x,fisher_p_2x,fisher_p_adj_1x,fisher_p_adj_2x
20,1276,17660,199,9059,Alpha/Beta hydrolase fold,63,9937,2.9487477727971296e-48,8.374443674743848e-46,0.9433470546985693,0.0063,topq,63,0.6666666666666666,105.82010582010581,944.3809523809523,1.1187391921364006e-84,126,0.36507936507936506,57.949105568153186,333.39852941176474,3.2560170071358057e-77,3.1772193056673775e-82,9.247088300265688e-75
12,798,8990,66,1194,"ABC transporter-like, ATP-binding domain",67,9933,1.5063140840308555e-47,4.2779319986476294e-45,0.9967934414307201,0.0067,topq,67,0.6417910447761194,95.7897081755402,739.7343750000001,5.915665159200878e-84,134,0.417910447761194,62.3746936957006,643.2167832167831,2.4234761576474722e-99,1.6800489052130494e-81,6.882672287718821e-97
16,2175,14463,145,9059,Alpha/Beta hydrolase fold,63,9937,2.2757318482775534e-47,6.463078449108252e-45,0.9970424787270918,0.0063,topq,63,0.6031746031746031,95.74200050390526,602.6496000000001,3.152242027601223e-73,126,0.4444444444444444,70.54673721340387,1127.6571428571428,1.2178125095256084e-104,8.952367358387473e-71,3.4585875270527277e-102
24,3066,23546,332,9059,Alpha/Beta hydrolase fold,63,9937,2.126476782217403e-46,6.039194061497424e-44,0.9999712474302391,0.0063,topq,63,0.9682539682539683,153.69110607205846,151508.75,2.3247370315555028e-154,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,6.602253169617628e-152,4.132594465676505e-126
16,2536,14824,151,1194,"ABC transporter-like, ATP-binding domain",67,9933,2.893832186036357e-46,8.218483408343254e-44,0.9962690323676092,0.0067,topq,67,0.7014925373134329,104.70037870349744,1164.7775000000001,9.30847322550278e-96,134,0.41044776119402987,61.26085987970595,571.6983122362868,1.4111004120461061e-96,2.6436063960427895e-93,4.0075251702109414e-94
12,798,8990,66,292,"ABC transporter-like, conserved site",65,9935,3.2028115930149792e-46,9.095984924162541e-44,0.9969122372343309,0.0065,topq,65,0.6307692307692307,97.0414201183432,705.4704861111111,5.418810990777567e-80,130,0.4153846153846154,63.905325443786985,636.8253588516747,3.2612950078913515e-96,1.538942321380829e-77,9.262077822411438e-94
20,3615,19999,244,9059,Alpha/Beta hydrolase fold,63,9937,4.6600261510198685e-46,1.3234474268896427e-43,0.998420206028136,0.0063,topq,63,0.9365079365079365,148.65205341395819,36627.9375,5.831674726185541e-145,126,0.49206349206349204,78.10531620055428,9564.46875,1.4144995953749243e-124,1.656195622236694e-142,4.017178850864785e-122
16,3994,16282,172,1194,"ABC transporter-like, ATP-binding domain",67,9933,8.353816290930799e-46,2.3724838266243467e-43,0.9929475245337793,0.0067,topq,67,0.5074626865671642,75.74069948763645,309.09090909090907,5.682093469103794e-60,134,0.40298507462686567,60.147026063711294,511.5980769230769,7.35507868626919e-94,1.6137145452254774e-57,2.0888423469004498e-91
16,1880,14168,143,9059,Alpha/Beta hydrolase fold,63,9937,1.4589027406756193e-45,4.143283783518759e-43,1.0,0.0063,topq,63,1.0,158.73015873015873,2524125.0,2.4111925520552505e-165,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,6.847786847836912e-163,4.132594465676505e-126
20,2500,18884,227,8787,WD40/YVTN repeat-like-containing domain superfamily,57,9943,3.462436596436233e-45,9.833319933878901e-43,0.9991671827663294,0.0057,topq,57,0.8070175438596491,141.58202523853492,3775.801652892562,2.0532962493561155e-104,114,0.5,87.71929824561403,19773.0,7.364489662581701e-119,5.831361348171368e-102,2.091515064173203e-116
