Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
MetX,16,3763,0.965244472026825,IPR008971,HSP40/DnaJ peptide-binding,1.9694771766662598,0.5012574195861816,1.4682197570800781,1.9741603136062622,6.5755843934312e-06
MetX,16,3763,0.9844614267349243,IPR022636,S-adenosylmethionine synthetase superfamily,2.198230028152466,0.5006519556045532,1.6975780725479126,2.1344335079193115,1.106730138644707e-07
MetX,16,3763,0.9713818430900574,IPR036410,"Heat shock protein DnaJ, cysteine-rich domain superfamily",2.012974739074707,0.5013260841369629,1.5116486549377441,2.005479097366333,1.4524794096359983e-05
MetX,16,3763,0.9614195227622986,IPR036419,"Ribosomal protein S3, C-terminal domain superfamily",1.748748779296875,0.5020523071289062,1.2466964721679688,1.8003846406936646,0.0009467383497394621
MetX,16,3763,0.9517325758934021,IPR036611,Trigger factor ribosome-binding domain superfamily,1.6590033769607544,0.5019643902778625,1.157038927078247,1.7246311902999878,0.0001449705450795591
MetX,16,3763,0.9891705513000488,IPR036899,Large ribosomal subunit protein uL13 superfamily,2.398287296295166,0.5015813708305359,1.8967058658599854,2.257420063018799,0.007612112443894148
MetX,16,3763,0.9517325758934021,IPR037041,"Trigger factor, C-terminal domain superfamily",1.6590033769607544,0.5019643902778625,1.157038927078247,1.7246311902999878,0.0001449705450795591
MetX,16,3765,0.9653164148330688,IPR005829,"Sugar transporter, conserved site",3.786656379699707,0.4181225299835205,3.3685338497161865,3.1788923740386963,0.0030277292244136333
MetX,16,3765,0.9511735439300537,IPR018086,"NADH:ubiquinone oxidoreductase, subunit 1, conserved site",2.395271062850952,0.4196547865867615,1.975616216659546,2.5128796100616455,0.011951412074267864
MetX,16,3765,0.9815026521682739,IPR018480,"Phospho-N-acetylmuramoyl-pentapeptide transferase, conserved site",5.232421875,0.415083646774292,4.817337989807129,3.6559700965881348,7.659743346266623e-07
MetX,16,3765,0.973350465297699,IPR001750,"NADH:quinone oxidoreductase/Mrp antiporter, transmembrane domain",4.2666401863098145,0.4133507311344147,3.8532893657684326,3.3676271438598633,8.413179820778577e-14
MetX,16,3765,0.9871079921722412,IPR005797,"Cytochrome b/b6, N-terminal domain",5.688910484313965,0.4059791564941406,5.282931327819824,3.8086392879486084,8.367783991969258e-23
MetX,16,3765,0.988231360912323,IPR005798,"Cytochrome b/b6, C-terminal",5.820616245269775,0.40558284521102905,5.415033340454102,3.8430676460266113,6.128739889841287e-23
MetX,16,3765,0.9788215756416321,IPR020846,Major facilitator superfamily domain,5.171778202056885,0.40514475107192993,4.7666335105896,3.6741154193878174,1.6296773914401647e-26
MetX,16,3765,0.9871731400489807,IPR048259,"Cytochrome b/b6, N-terminal domain, eukaryotic/bacterial",5.699285984039307,0.40647879242897034,5.292807102203369,3.8094937801361084,7.736869574498067e-22
