Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
2pkea,12,492,0.9584228992462158,IPR023673,"Large ribosomal subunit protein uL1, conserved site",1.824444055557251,0.27829575538635254,1.5461483001708984,2.712714195251465,1.8208920664619654e-06
2pkea,12,492,0.9582332372665405,IPR035595,"UDP-glycosyltransferase family, conserved site",1.8935505151748657,0.2783675491809845,1.6151829957962036,2.765979051589966,1.9005256035597995e-05
2pkea,12,492,0.9907805919647217,IPR000713,"Mur ligase, N-terminal catalytic domain",4.492645263671875,0.27524492144584656,4.217400550842285,4.028724670410156,3.151598946260492e-07
2pkea,12,492,0.9968025088310242,IPR001650,"Helicase, C-terminal domain-like",6.5796661376953125,0.2422814667224884,6.3373847007751465,4.7631988525390625,0.0
2pkea,12,492,0.9649993777275085,IPR003959,"ATPase, AAA-type, core",2.3355870246887207,0.2712225914001465,2.064364433288574,3.106182813644409,0.0
2pkea,12,492,0.9933614134788513,IPR004101,"Mur ligase, C-terminal",4.99472188949585,0.2684902250766754,4.726231575012207,4.217409133911133,1.9121385021737013e-22
2pkea,12,492,0.9557695388793945,IPR005720,"Dihydroorotate dehydrogenase, catalytic",1.74072265625,0.27869755029678345,1.4620251655578613,2.642862319946289,0.0002555872779339552
2pkea,12,492,0.9895495772361755,IPR006935,"Helicase/UvrB, N-terminal",4.0916748046875,0.27649059891700745,3.8151841163635254,3.8873369693756104,7.395955617539585e-05
2pkea,12,492,0.9902952909469604,IPR011115,"SecA DEAD-like, N-terminal",4.137077331542969,0.2737381160259247,3.8633391857147217,3.9176909923553467,6.057690698883789e-13
2pkea,12,492,0.9902952909469604,IPR011116,SecA Wing/Scaffold,4.137077331542969,0.2737381160259247,3.8633391857147217,3.9176909923553467,6.057690698883789e-13
2pkea,12,492,0.9902952909469604,IPR011130,"SecA, preprotein cross-linking domain",4.137077331542969,0.2737381160259247,3.8633391857147217,3.9176909923553467,6.057690698883789e-13
2pkea,12,492,0.9994494915008545,IPR011545,DEAD/DEAH-box helicase domain,8.409567832946777,0.25175344944000244,8.157814025878906,5.061890602111816,5.76005088872383e-35
2pkea,12,492,0.9933614134788513,IPR013221,"Mur ligase, central",4.99472188949585,0.2684902250766754,4.726231575012207,4.217409133911133,1.9121385021737013e-22
2pkea,12,492,0.9694895148277283,IPR013317,"Chromosomal replication initiator protein DnaA, ATPAse domain",2.2480225563049316,0.2783361077308655,1.969686508178711,3.013704776763916,0.0006248363060876727
2pkea,12,492,0.9934324026107788,IPR014001,"Helicase superfamily 1/2, ATP-binding domain",6.255637168884277,0.24060657620429993,6.015030384063721,4.700348854064941,0.0
