layer,unit,domain,aggregator,n_pos,n_neg,auc,ci_lo,ci_hi,U,p_mwu,auc_from_U,auc_matches_U,rho_len_pos,rho_len_neg,qval
16,1166,PF13589,max,869,892,0.992378229705811,0.9870572297161316,0.9967915965725255,769240.0,1.3571008965944362e-280,0.992378229705811,True,0.17007779956268745,0.04783213801666805,2.0467751227325923e-280
16,1166,PF13589,topq,869,892,0.9924079014588183,0.9872124097591686,0.996716868907615,769263.0,1.25628717673689e-280,0.9924079014588182,True,0.13469744850091658,0.014551735003935265,1.9263070043298978e-280
16,1166,PF13589,mean,869,892,0.9921382755293182,0.9867113764081181,0.9964838650167454,769054.0,2.532992084650961e-280,0.9921382755293183,True,0.0009759562984182681,0.006542597553546058,3.7586334159336844e-280
16,1166,PF13589,topk,869,892,0.9925420693854593,0.9872810418139503,0.996924474422949,769367.0,8.861017692090772e-281,0.9925420693854593,True,0.14233369163284593,0.17974703525702065,1.3817180130039847e-280
16,3077,IPR036890,max,1700,1737,0.9964587354803751,0.9938924531816181,0.9985616470249584,2942443.0,0.0,0.9964587354803752,True,-0.018530601563193538,0.10100080482077574,0.0
16,3077,IPR036890,topq,1700,1737,0.9970713535846116,0.9948191819905855,0.9988850536760472,2944252.0,0.0,0.9970713535846117,True,-0.5304540676264556,0.011362850297631304,0.0
16,3077,IPR036890,mean,1700,1737,0.8921216431304819,0.8823117147549865,0.9022284491516814,2634346.0,0.0,0.8921216431304819,True,-0.38506897051145156,-0.10415138881750947,0.0
16,3077,IPR036890,topk,1700,1737,0.9960801246232516,0.9936343255782452,0.9981394730603814,2941325.0,0.0,0.9960801246232517,True,0.3194468183614978,0.22504521259274735,0.0
16,1353,IPR036890,max,1700,1737,0.9950882183616107,0.9924695214873512,0.99736278319618,2938396.0,0.0,0.9950882183616107,True,-0.21909220095177828,0.11218059152301765,0.0
16,1353,IPR036890,topq,1700,1737,0.9961940803955434,0.9939562294693354,0.9981257492634358,2941661.5,0.0,0.9961940803955434,True,-0.6057852179812004,0.012683791182712694,0.0
16,1353,IPR036890,mean,1700,1737,0.684619187916963,0.6660023747841105,0.7025239510311897,2021612.0,1.104591604230438e-78,0.684619187916963,True,-0.1262471466228098,-0.11555598254519023,1.3920880491671274e-78
16,1353,IPR036890,topk,1700,1737,0.971629245826137,0.9666790019980358,0.9762345998848591,2869124.0,0.0,0.971629245826137,True,0.1929191298141514,0.22845675189938755,0.0
16,1597,IPR036890,max,1700,1737,0.7866138372447424,0.7700656473297436,0.8038231187984692,2322792.0,1.918022115859576e-186,0.7866138372447424,True,0.4873239708907864,0.1493699329621016,2.6736065857436512e-186
16,1597,IPR036890,topq,1700,1737,0.7937976226760134,0.7775998848589523,0.8107962130448034,2344005.0,8.715248873830404e-196,0.7937976226760134,True,0.48696153637701056,0.0772147082762665,1.233542917526765e-195
16,1597,IPR036890,mean,1700,1737,0.7218839107318229,0.7040390251955705,0.7404216786887465,2131651.0,1.149705648172194e-112,0.721883910731823,True,0.2668660833250442,-0.042096062854693216,1.511041709026312e-112
16,1597,IPR036890,topk,1700,1737,0.7842392224592772,0.7684677393409868,0.8004230586880693,2315780.0,2.0908357995283665e-183,0.7842392224592774,True,0.5349703124108124,0.2498767596620854,2.870998411292682e-183
16,1814,IPR036890,max,1700,1737,0.9953518574960207,0.9923033712621491,0.9978203122354294,2939174.5,0.0,0.9953518574960208,True,-0.13456598912307058,0.20864992818573577,0.0
16,1814,IPR036890,topq,1700,1737,0.9956119408039553,0.9926818635917235,0.997955103457618,2939942.5,0.0,0.9956119408039554,True,-0.2059054847754748,0.09123102011683504,0.0
16,1814,IPR036890,mean,1700,1737,0.9881372549019608,0.9848853288292865,0.9910143249009448,2917870.5,0.0,0.9881372549019608,True,-0.3102347021761432,0.04609515422513234,0.0
16,1814,IPR036890,topk,1700,1737,0.9960799552981815,0.9933895069253954,0.9982187256595212,2941324.5,0.0,0.9960799552981815,True,0.5432324459773609,0.3090692648497089,0.0
16,3994,PF13589,max,869,892,0.6725722055659049,0.6441716291598507,0.7016802758956999,521343.0,2.294955748810528e-36,0.6725722055659048,True,-0.05146898990655229,0.04359274952026694,2.5135229629829593e-36
16,3994,PF13589,topq,869,892,0.7121885110972357,0.6846460772652448,0.7390167103572479,552051.5,6.288149910291328e-54,0.7121885110972356,True,0.12426808318855653,0.006786650525773524,7.142096194404965e-54
16,3994,PF13589,mean,869,892,0.7486247787519287,0.7260963228957568,0.7706924193831372,580295.0,3.0393821639562986e-73,0.7486247787519287,True,0.13361412288352287,0.04132607178491443,3.584912295948455e-73
16,3994,PF13589,topk,869,892,0.6888787689576701,0.6633656733939841,0.7136257366335204,533983.0,3.676708635670396e-43,0.68887876895767,True,0.24408587552491637,0.1777835308294916,4.12508773758142e-43
20,2311,PF13589,max,869,892,0.9951009355632731,0.9908339117175042,0.9984964645461255,771350.5,1.117262835144843e-283,0.9951009355632731,True,0.10724780187582889,0.10155488971898557,1.8033014181285188e-283
20,2311,PF13589,topq,869,892,0.9954118439317394,0.991535697053982,0.9985364730348268,771591.5,4.9528750873329083e-284,0.9954118439317395,True,0.07610066768591792,0.04751618996142173,8.284809236993228e-284
20,2311,PF13589,mean,869,892,0.9953976530933446,0.9914009808449482,0.9985216855361814,771580.5,5.1402924950029324e-284,0.9953976530933447,True,-0.7248179934416965,-0.003139791985470142,8.444766241790532e-284
20,2311,PF13589,topk,869,892,0.9949951493134214,0.9908619063714283,0.998412593466022,771268.5,1.4733767808824303e-283,0.9949951493134215,True,0.11732030169237351,0.15028769549752216,2.3370804110548897e-283
